Id,SalePrice
1461,119250.71947230009
1462,154826.59381169642
1463,182761.48985176286
1464,196451.01766652078
1465,198213.98065624645
1466,169575.55758910748
1467,177126.78945860508
1468,161028.8511251323
1469,192145.31838383997
1470,117067.61819215563
1471,196862.83301643448
1472,94789.09106296388
1473,91699.97230810866
1474,143114.73376405388
1475,105932.61345073154
1476,366658.93123530946
1477,249415.02153281897
1478,287925.8161467828
1479,284345.43403890525
1480,454837.3268930752
1481,314678.4071982014
1482,210812.5759606868
1483,182363.02870304606
1484,158517.00639195507
1485,189913.18256407234
1486,195217.85942556805
1487,329033.33995274804
1488,234371.3574428695
1489,192596.53776259176
1490,238883.0399646109
1491,194720.5830420456
1492,89043.20671844044
1493,177929.15131934104
1494,296326.2606291926
1495,290344.7026668934
1496,229024.6073681264
1497,177296.16695649058
1498,166053.7164198627
1499,159175.69400968475
1500,155537.06877080526
1501,175289.03709008906
1502,140956.98928561195
1503,283095.47006498673
1504,239190.6869100541
1505,224272.56576869806
1506,191186.31066059743
1507,242248.55329734148
1508,202973.28861371404
1509,156567.94007422638
1510,141998.06598010633
1511,154188.37246222157
1512,177247.4562899169
1513,145215.92269304616
1514,155636.39221642778
1515,200166.51479739288
1516,156454.76253712652
1517,167420.90966320573
1518,131422.4181598382
1519,208134.0326391775
1520,126727.31612827755
1521,132843.34899703792
1522,180130.01481032616
1523,107927.44512493286
1524,132139.73149896835
1525,119500.25492453546
1526,112290.50728103763
1527,101346.36630587284
1528,139976.44615150755
1529,146878.75044862495
1530,179995.9092594096
1531,106340.61727681603
1532,97718.36093346156
1533,154844.8565361392
1534,132356.06068959614
1535,145989.7488644042
1536,107105.50309170237
1537,61384.66458835065
1538,153033.434498677
1539,199969.05476834148
1540,96426.05800666504
1541,144663.87567454568
1542,143804.35634807294
1543,192546.19681186206
1544,88628.65913798344
1545,116138.49071222988
1546,137314.1027458226
1547,136962.37275849615
1548,142869.63034792244
1549,120930.62662273727
1550,133460.5553708454
1551,107045.72924621933
1552,130099.95691305284
1553,150127.28606669197
1554,114166.57004493996
1555,165110.2457226837
1556,89267.07596423385
1557,110473.10293938078
1558,101219.79812252951
1559,59149.8459638524
1560,135198.4010724416
1561,131389.6285872937
1562,127419.9583178857
1563,118342.73437584906
1564,157378.8894798865
1565,143111.74031082372
1566,243730.1839339131
1567,76139.53689071526
1568,238898.20006318815
1569,132509.94128286702
1570,135041.83938141243
1571,118737.15234031463
1572,143616.47271289682
1573,232966.597867827
1574,120815.12991901707
1575,222542.73700532678
1576,261490.01509985802
1577,181413.00292678585
1578,146450.53339132146
1579,144230.96045798121
1580,193128.75650873757
1581,156565.13951962313
1582,121470.32012235706
1583,295282.0251139987
1584,215737.64167267267
1585,135477.63112133683
1586,59885.859826135056
1587,101010.74490429735
1588,150336.24366674718
1589,101644.58678605729
1590,135880.8440784207
1591,92488.8283632479
1592,120540.51950783699
1593,121182.0539828542
1594,132721.59308802424
1595,101671.58673167742
1596,220499.22743224035
1597,187823.70392154632
1598,229769.00194069726
1599,164868.36567628416
1600,162062.14588014426
1601,65961.32750393939
1602,115854.04136091877
1603,69682.22812287665
1604,255582.50073285738
1605,246116.01857635472
1606,173920.65857207606
1607,178799.05738913533
1608,225308.92685892578
1609,183103.33969522305
1610,147516.0095945008
1611,140838.79399318408
1612,170949.9316907343
1613,166800.7158749302
1614,126242.38354662308
1615,91362.59824289464
1616,78052.22408647079
1617,92546.19513153793
1618,121977.56385280262
1619,135853.39224320377
1620,148969.57837235657
1621,140040.7762888746
1622,136554.18721089742
1623,252324.6607487434
1624,217393.43431179787
1625,119446.24467407908
1626,172909.49317337715
1627,192128.69961484516
1628,266633.92096908676
1629,173693.21655163472
1630,338228.95484859316
1631,230523.15605057342
1632,246967.4564687537
